id,price_doc
30474,5053626.995842267
30475,5435863.618619742
30476,4969705.552894627
30477,4518665.133062871
30478,5077670.086214092
30479,7391092.926104487
30480,4790118.4280957915
30481,5588852.20055742
30482,4182514.633469397
30483,4798591.626611421
30484,5340168.9018318625
30485,5349476.130705056
30486,3977671.1390235126
30487,4144909.139392962
30488,5180062.634062923
30489,5838346.225122976
30490,14616352.559261648
30491,13253104.089770827
30492,5137102.546927661
30493,9033532.071015464
30494,5342568.718789091
30495,6379045.260879958
30496,6603556.038096508
30497,9267371.683690123
30498,3919436.863012977
30499,5108682.99166795
30500,9857261.316264737
30501,5530659.701665264
30502,3415436.705092049
30503,4305976.937450375
30504,5149159.256471392
30505,6916465.268491288
30506,3398419.2565402603
30507,5577435.3935442045
30508,5454753.065493517
30509,6481944.096637869
30510,6863529.178885977
30511,5946202.160401847
30512,5259260.289674788
30513,4595115.494776211
30514,3275317.3293381142
30515,9071971.040565496
30516,4662117.538419959
30517,5869182.818907431
30518,7147233.802019329
30519,4178685.118396683
30520,8146750.239346345
30521,3005762.0506871226
30522,7250101.277656935
30523,5147430.94839053
30524,7725571.011663169
30525,5994146.008791476
30526,4865935.707631166
30527,4870906.2655150825
30528,4526343.980372577
30529,5710756.215029258
30530,4121634.740538978
30531,10139785.77743049
30532,4850649.078177101
30533,7158755.427370516
30534,5882902.854562793
30535,7809130.472667003
30536,5731371.370220545
30537,9733297.925495382
30538,6200172.8226446835
30539,6340584.040296364
30540,7440301.552144436
30541,4807630.027736312
30542,3012645.965989223
30543,4222137.890862777
30544,4689269.614235545
30545,5847049.11918796
30546,3480895.181689213
30547,6569884.807686431
30548,4992088.296067419
30549,5130850.489062726
30550,8726466.43477158
30551,4257909.388623656
30552,1995887.0095501363
30553,5681713.087102796
30554,8697741.973797536
30555,5884274.483691391
30556,7351289.329677604
30557,5682117.378555553
30558,6657955.50556672
30559,5140735.870593446
30560,4152147.5491186352
30561,6525706.797346724
30562,13716205.491060888
30563,3973105.181190165
30564,5669286.406290834
30565,4907250.128822012
30566,3733812.8402172704
30567,2096053.0724674633
30568,10169567.900098538
30569,8188960.027116419
30570,5801791.105106979
30571,10612069.2312149
30572,5259911.643086528
30573,5336793.115597039
30574,4726976.410908565
30575,6630843.920834543
30576,4221798.197478253
30577,3480867.5893692807
30578,3614322.5344509403
30579,5795136.962766695
30580,4916161.198461799
30581,4617985.92862357
30582,7126614.817836246
30583,5536771.268831156
30584,4741530.427883947
30585,3660017.3964436436
30586,7657204.905505973
30587,5074946.151361526
30588,5709822.797873311
30589,7086668.142810494
30590,9371369.586160889
30591,4788505.072533616
30592,5364576.567900609
30593,4797386.096748083
30594,7237355.343153356
30595,4757992.864357201
30596,6109424.206584746
30597,5306057.22410664
30598,8327817.630679497
30599,9053681.465506319
30600,7405403.394028932
30601,5581474.335744125
30602,2298715.90326304
30603,11952587.80924746
30604,4134791.258006994
30605,5288050.974263276
30606,10040985.19172004
30607,5448075.821132135
30608,7322765.694003475
30609,5882746.720369035
30610,3709261.706384741
30611,4916127.260280335
30612,7197443.291822313
30613,4607397.692036092
30614,15554458.656840198
30615,6114825.286874763
30616,5007394.606010626
30617,7107158.543123348
30618,4049953.804937771
30619,3659497.5379624367
30620,2436377.0097506326
30621,9213959.690632485
30622,6394969.8078295505
30623,4974923.800867861
30624,4123230.4939786587
30625,7288988.331771341
30626,5891893.684940394
30627,4415919.898119474
30628,5220679.546547704
30629,4774592.7430834845
30630,4354418.930347074
30631,5467831.750802436
30632,4439246.47964881
30633,4707552.472166158
30634,10262322.699062062
30635,8368032.910665809
30636,4436316.953299628
30637,7872267.968494224
30638,5417699.534193494
30639,6032498.559645731
30640,5219839.9759572195
30641,5010729.660998016
30642,5513297.396246896
30643,5474137.979962315
30644,8286615.837361901
30645,6113327.91838572
30646,4777975.96719607
30647,4969679.703575086
30648,11704787.546184266
30649,2756234.6106839017
30650,4483557.57002405
30651,2845543.5341588035
30652,4493588.309479147
30653,7170274.747183082
30654,4199295.16413363
30655,15303272.200548049
30656,5321302.361849354
30657,6073348.733005913
30658,7707523.495985381
30659,5162287.937808765
30660,7224577.549492634
30661,7492171.484846094
30662,9469901.590974439
30663,16847745.471270625
30664,12777567.821704304
30665,5296324.587146194
30666,2884845.9227437265
30667,3870788.83945611
30668,7665416.371257082
30669,4292110.0052974755
30670,2537331.99928637
30671,6628268.152046288
30672,18396760.77982961
30673,10192137.393753111
30674,6868832.424891959
30675,2153125.0674936315
30676,6343921.761982928
30677,3957997.0017718677
30678,20794877.74696112
30679,4944387.751960665
30680,5102416.064104139
30681,2500421.0796374944
30682,6328818.448400414
30683,7054699.600183926
30684,4488447.216155696
30685,7166818.990582456
30686,9008691.1568821
30687,4199010.532567793
30688,3999784.235913145
30689,9394731.45185495
30690,11522636.580042658
30691,4391870.100338419
30692,5058659.4172477145
30693,11197017.734634705
30694,4952953.611815022
30695,7277343.575874283
30696,4834766.920768442
30697,8036872.472630851
30698,4640985.623716493
30699,4523045.983907574
30700,5397964.911418223
30701,8477477.389099121
30702,5869030.575160315
30703,4360512.733184381
30704,11647947.06292832
30705,7078933.329639695
30706,17148939.588789545
30707,2526855.422561446
30708,11111166.165014502
30709,8226936.205951568
30710,5994307.7590532135
30711,4369331.930369693
30712,4317624.895493068
30713,4960195.749357847
30714,5906002.997235581
30715,2628532.0288616875
30716,7447631.333114987
30717,5732600.755324212
30718,7739399.538060057
30719,7525303.521747032
30720,5303874.488490841
30721,3923116.1682966943
30722,6535713.953030003
30723,4782321.988021762
30724,9091430.396058792
30725,6499475.31532496
30726,11367616.869990597
30727,9071207.071242614
30728,10608021.912672518
30729,3079673.0072071967
30730,4145504.617005106
30731,4979543.826961121
30732,4792224.3376564775
30733,8533767.699311301
30734,10177291.414942354
30735,4575459.90706773
30736,6771222.346070129
30737,5249932.12947731
30738,5355607.776440529
30739,2817483.495105109
30740,6871284.20480608
